Card Set,Number,Player,Team,Seq.
AKA Gold,15,Tom Brady,New England Patriots,10
AKA Gold,16,Jerry Rice,San Francisco 49ers,10
AKA Gold,17,Walter Payton,Chicago Bears,10
AKA Gold,18,Deion Sanders,Dallas Cowboys,10
AKA Gold,19,Peyton Manning,Indianapolis Colts,10
AKA Gold,20,Rob Gronkowski,New England Patriots,10
AKA Gold,21,J.J. Watt,Houston Texans,10
AKA Gold,22,Joe Montana,San Francisco 49ers,10
AKA Gold,23,Ben Roethlisberger,Pittsburgh Steelers,10
AKA Gold,24,Le'Veon Bell,Pittsburgh Steelers,10
AKA Gold,25,Lance Alworth,San Diego Chargers,10
AKA Gold,26,Red Grange,Chicago Bears,10
AKA Gold,27,Mitchell Trubisky,Chicago Bears,10
AKA Gold,28,John Ross III,Cincinnati Bengals,10
AKA Gold,29,Jabrill Peppers,Cleveland Browns,10
AKA Gold,30,Patrick Mahomes II,Kansas City Chiefs,10
AKA Gold Vinyl,1,Roger Staubach,Dallas Cowboys,1
AKA Gold Vinyl,2,Jameis Winston,Tampa Bay Buccaneers,1
AKA Gold Vinyl,3,Travis Kelce,Kansas City Chiefs,1
AKA Gold Vinyl,4,Joe Namath,New York Jets,1
AKA Gold Vinyl,5,Marshawn Lynch,Oakland Raiders,1
AKA Gold Vinyl,6,Cam Newton,Carolina Panthers,1
AKA Gold Vinyl,7,Randy White,Dallas Cowboys,1
AKA Gold Vinyl,8,Ezekiel Elliott,Dallas Cowboys,1
AKA Gold Vinyl,9,Terry Bradshaw,Pittsburgh Steelers,1
AKA Gold Vinyl,10,Jerome Bettis,Pittsburgh Steelers,1
AKA Gold Vinyl,11,Tyrann Mathieu,Arizona Cardinals,1
AKA Gold Vinyl,12,Christian Okoye,Kansas City Chiefs,1
AKA Gold Vinyl,13,Ed Reed,Baltimore Ravens,1
AKA Gold Vinyl,14,Gale Sayers,Chicago Bears,1
AKA Gold Vinyl,15,Tom Brady,New England Patriots,1
AKA Gold Vinyl,16,Jerry Rice,San Francisco 49ers,1
AKA Gold Vinyl,17,Walter Payton,Chicago Bears,1
AKA Gold Vinyl,18,Deion Sanders,Dallas Cowboys,1
AKA Gold Vinyl,19,Peyton Manning,Indianapolis Colts,1
AKA Gold Vinyl,20,Rob Gronkowski,New England Patriots,1
AKA Gold Vinyl,21,J.J. Watt,Houston Texans,1
AKA Gold Vinyl,22,Joe Montana,San Francisco 49ers,1
AKA Gold Vinyl,23,Ben Roethlisberger,Pittsburgh Steelers,1
AKA Gold Vinyl,24,Le'Veon Bell,Pittsburgh Steelers,1
AKA Gold Vinyl,25,Lance Alworth,San Diego Chargers,1
AKA Gold Vinyl,26,Red Grange,Chicago Bears,1
AKA Gold Vinyl,27,Mitchell Trubisky,Chicago Bears,1
AKA Gold Vinyl,28,John Ross III,Cincinnati Bengals,1
AKA Gold Vinyl,29,Jabrill Peppers,Cleveland Browns,1
AKA Gold Vinyl,30,Patrick Mahomes II,Kansas City Chiefs,1
AKA Green,1,Roger Staubach,Dallas Cowboys,5
AKA Green,2,Jameis Winston,Tampa Bay Buccaneers,5
AKA Green,3,Travis Kelce,Kansas City Chiefs,5
AKA Green,4,Joe Namath,New York Jets,5
AKA Green,5,Marshawn Lynch,Oakland Raiders,5
AKA Green,6,Cam Newton,Carolina Panthers,5
AKA Green,7,Randy White,Dallas Cowboys,5
AKA Green,8,Ezekiel Elliott,Dallas Cowboys,5
AKA Green,9,Terry Bradshaw,Pittsburgh Steelers,5
AKA Green,10,Jerome Bettis,Pittsburgh Steelers,5
